Time (s),Sample #,Channel A (V)
1.209324,1041,-0.023652
1.209327,1042,0.020295
1.209330,1043,-0.023652
1.209333,1044,0.020295
1.209336,1045,-0.023652
1.209339,1046,0.020295
1.209342,1047,-0.023652
1.209344,1048,0.020295
1.209347,1049,-0.023652
1.209349,1050,-0.023652
1.209352,1051,0.020295
1.209355,1052,0.020295
1.209357,1053,-0.023652
1.209360,1054,0.020295
1.209363,1055,0.020295
1.209365,1056,-0.023652
1.209367,1057,0.020295
1.209370,1058,-0.023652
1.209372,1059,0.020295
1.209375,1060,0.020295
1.209377,1061,-0.023652
1.209380,1062,-0.023652
1.209382,1063,-0.023652
1.209385,1064,-0.023652
1.209388,1065,0.020295
1.209390,1066,0.020295
1.209392,1067,0.020295
1.209394,1068,0.020295
1.209397,1069,0.020295
1.209399,1070,0.020295
1.209402,1071,0.020295
1.209405,1072,-0.023652
1.209407,1073,0.020295
1.209409,1074,-0.023652
1.209412,1075,-0.023652
1.209415,1076,0.020295
1.209417,1077,0.020295
1.209420,1078,0.020295
1.209422,1079,-0.023652
1.209425,1080,-0.023652
1.209427,1081,0.020295
1.209430,1082,0.020295
1.209432,1083,-0.023652
1.209435,1084,0.020295
1.209437,1085,0.020295
1.263703,1086,-0.023652
1.263760,1087,-0.023652
1.263765,1088,0.020295
1.263768,1089,-0.023652
1.263771,1090,-0.023652
1.263774,1091,0.020295
1.263776,1092,0.020295
1.263779,1093,0.020295
1.263782,1094,-0.023652
1.263784,1095,-0.023652
1.263787,1096,0.020295
1.263790,1097,0.020295
1.263792,1098,0.020295
1.263795,1099,0.020295
1.263797,1100,0.020295
1.263800,1101,-0.023652
1.263803,1102,0.020295
1.263806,1103,-0.023652
1.263809,1104,0.020295
1.263811,1105,0.020295
1.263813,1106,0.020295
1.263815,1107,-0.023652
1.263818,1108,0.020295
1.263820,1109,-0.023652
1.263823,1110,-0.023652
1.263825,1111,-0.023652
